GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoP_per,TP_per,blk_per,stl_per,ftr,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,treb,ast,stl,blk,pts,posicion,ronda,altura_cm,rango_pick
29,84.6,114.6,29.2,47.4,55.25,2.0,8.2,8.3,9.4,0.882,0.464,0.325,0.7,1.4,44.0,0.8571344,0.642,0.3952,108.167,152.806,2.76225,5.43403,-2.67178,5.30009,34.0,6.52283,-1.22274,3.3793,1.4483,0.8621,0.2069,23.0345,Wing G,R1,193.0,21-30
14,31.0,126.8,26.0,59.0,63.14,2.5,19.0,32.9,11.9,0.788,0.533,0.45,0.8,1.8,44.0,3.13643865,0.75,0.2857,103.626,73.7778,9.50321,7.62963,1.87357,10.0831,31.0714,7.75923,2.32392,5.4286,4.9286,0.9286,0.2143,16.3571,Combo G,R1,200.7,11-20
35,86.7,110.3,20.7,56.9,58.61,7.1,18.5,9.6,16.1,0.664,0.573,0.374,3.2,2.4,32.3,0.8143,0.6512,0.3731,95.093,261.508,5.94911,3.48269,2.46643,5.61637,35.2857,3.74718,1.86919,8.1429,1.6286,1.4286,1.1143,14.6,Wing F,R2,198.1,31-40
36,87.3,108.0,34.8,49.0,54.09,1.3,10.7,18.3,15.5,0.837,0.44,0.355,1.0,2.3,31.4,0.92035427,0.5,0.3551,102.371,217.953,5.21965,5.61306,-0.393407,7.53716,35.4167,7.10743,0.429729,3.6111,2.8889,1.3333,0.2778,24.2778,Combo G,R2,185.4,31-40
29,63.1,109.4,21.3,53.1,56.9,7.6,11.7,6.6,17.4,0.733,0.527,0.36,2.4,1.4,38.9,0.55555556,0.5865,0.3725,95.2606,140.977,4.13095,2.93242,1.19853,4.12945,27.4138,3.09764,1.03181,4.8621,1.0345,0.6897,0.7241,12.5517,Wing F,R2,198.1,51-60
30,78.9,112.2,29.1,53.6,58.48,0.7,7.1,36.3,19.5,0.852,0.459,0.432,0.1,2.1,32.7,1.82290626,0.5189,0.413,97.3403,165.232,5.59221,5.81935,-0.227137,7.66079,32.6,6.41721,1.24359,2.5,5.8333,1.2,0.0333,18.6,Pure PG,R2,185.4,51-60
30,74.3,106.9,33.0,52.5,57.31,3.2,25.6,23.6,18.8,0.731,0.525,0.35,1.0,2.8,51.4,1.02885421,0.697,0.3106,92.5158,217.057,6.662,2.74706,3.91494,8.17988,31.0,4.82928,3.3506,7.6774,3.4516,1.4839,0.2581,19.9677,Wing G,R1,200.7,21-30
36,81.1,110.3,20.1,54.6,55.14,7.3,19.3,21.6,20.3,0.557,0.544,0.368,1.3,1.7,30.0,1.67902226,0.7355,0.2706,95.262,232.775,8.60912,5.0632,3.54592,7.65528,34.1389,4.95164,2.70364,7.75,3.7778,0.9444,0.4167,11.3056,Stretch 4,R2,208.3,31-40
28,72.8,118.2,25.4,61.7,64.31,13.2,30.8,5.6,16.6,0.759,0.652,0.305,11.5,0.7,35.3,0.30646256,0.7853,0.3978,89.893,213.45,7.46447,2.87284,4.59163,8.89443,30.4286,6.38733,2.5071,11.6071,0.6786,0.3929,3.1071,17.6429,C,R2,210.8,51-60
32,92.4,123.2,28.7,57.7,62.93,1.6,8.6,31.3,12.8,0.825,0.555,0.414,1.8,2.7,46.3,2.11262838,0.6691,0.4663,107.807,192.184,7.09443,8.32456,-1.23013,9.82813,37.4062,8.91582,0.912311,3.2188,4.6875,1.6562,0.625,22.5,Scoring PG,R2,190.5,41-50
